"Rank","Name","Anime","File","Source","Error"
"1","Satoru Gojou","JUJUTSU KAISEN","001-satoru-gojou-127691.png","https://s4.anilist.co/file/anilistcdn/character/large/b127691-9zqh1xpIubn7.png",""
"2","Levi","Attack on Titan","002-levi-45627.png","https://s4.anilist.co/file/anilistcdn/character/large/b45627-CR68RyZmddGG.png",""
"3","Luffy Monkey","ONE PIECE","003-luffy-monkey-40.png","https://s4.anilist.co/file/anilistcdn/character/large/b40-MNypXsxSRb1R.png",""
"4","Killua Zoldyck","Hunter x Hunter","004-killua-zoldyck-27.jpg","https://s4.anilist.co/file/anilistcdn/character/large/b27-Z5O02kQUydpT.jpg",""
"5","Eren Yeager","Attack on Titan","005-eren-yeager-40882.jpg","https://s4.anilist.co/file/anilistcdn/character/large/b40882-dsj7IP943WFF.jpg",""
"6","Zoro Roronoa","ONE PIECE","006-zoro-roronoa-62.png","https://s4.anilist.co/file/anilistcdn/character/large/b62-S7oAeA9WInjV.png",""
"7","Lelouch Lamperouge","Code Geass: Lelouch of the Rebellion","007-lelouch-lamperouge-417.png","https://s4.anilist.co/file/anilistcdn/character/large/b417-gVLmIJu9phcK.png",""
"8","Emilia","Re:ZERO -Starting Life in Another World-","008-emilia-88572.jpg","https://s4.anilist.co/file/anilistcdn/character/large/b88572-IzTwXEHSobRs.jpg",""
"9","L Lawliet","Death Note","009-l-lawliet-71.png","https://s4.anilist.co/file/anilistcdn/character/large/b71-1W4panC53vfs.png",""
"10","Ken Kaneki","Tokyo Ghoul","010-ken-kaneki-87275.png","https://s4.anilist.co/file/anilistcdn/character/large/b87275-mb13EWZBdbh3.png",""
"11","Mikasa Ackerman","Attack on Titan","011-mikasa-ackerman-40881.png","https://s4.anilist.co/file/anilistcdn/character/large/b40881-F3gr1PkreDvj.png",""
"12","Arataka Reigen","Mob Psycho 100","012-arataka-reigen-89334.png","https://s4.anilist.co/file/anilistcdn/character/large/b89334-OPj1hCzvrt7X.png",""
